所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
11-20分,11分,乗換0回,大森,139.728079,35.588903,ＪＲ,京浜東北線,賃貸アパート,1DK,15.75
11-20分,15分,乗換0回,蒲田,139.716032,35.562517,ＪＲ,京浜東北線,賃貸アパート,1DK,8.7
21-30分,25分,乗換0回,西日暮里,139.766857,35.731954,ＪＲ,山手線,賃貸アパート,1DK,11.98
21-30分,29分,乗換0回,駒込,139.748053,35.736825,ＪＲ,山手線,賃貸アパート,1DK,14.7
21-30分,26分,乗換1回,春日,139.75325,35.709598,都営,三田線,賃貸アパート,1DK,14.7
21-30分,30分,乗換1回,茗荷谷,139.737184,35.716989,東京メトロ,丸ノ内線,賃貸アパート,1DK,14.6
21-30分,23分,乗換0回,田端,139.761229,35.737781,ＪＲ,京浜東北線,賃貸アパート,1DK,9.6
21-30分,28分,乗換0回,王子,139.73809,35.752538,ＪＲ,京浜東北線,賃貸アパート,1DK,10.5
21-30分,22分,乗換1回,武蔵小山,139.704524,35.620538,東急,目黒線,賃貸アパート,1DK,12.2
21-30分,30分,乗換1回,田園調布,139.667356,35.596815,東急,目黒線,賃貸アパート,1DK,10.9
21-30分,28分,乗換1回,亀戸,139.826262,35.697345,ＪＲ,総武本線（東京-銚子）,賃貸アパート,1DK,11.24
21-30分,30分,乗換1回,平井,139.842181,35.70643,ＪＲ,総武本線（東京-銚子）,賃貸アパート,1DK,10.6
21-30分,29分,乗換1回,鵜の木,139.680554,35.575452,東急,多摩川線,賃貸アパート,1DK,12.3
21-30分,26分,乗換1回,池尻大橋,139.684319,35.650603,東急,田園都市線,賃貸アパート,1DK,17.2
21-30分,30分,乗換1回,池ノ上,139.67344,35.660402,京王,井の頭線,賃貸アパート,1DK,11.8
21-30分,30分,乗換2回,祐天寺,139.690758,35.637163,東急,東横線,賃貸アパート,1DK,13.4
31-40分,38分,乗換0回,川口,139.717472,35.801869,ＪＲ,京浜東北線,賃貸アパート,1DK,10.5
31-40分,35分,乗換1回,明大前,139.650352,35.668758,京王,井の頭線,賃貸アパート,1DK,10.7
31-40分,31分,乗換1回,新三河島,139.773834,35.73714,京成,本線,賃貸アパート,1DK,10.97
