所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
0-10分,4分,乗換0回,品川,139.738999,35.62876,ＪＲ,山手線,賃貸アパート,1K,11.9
0-10分,7分,乗換0回,大崎,139.728439,35.619772,ＪＲ,山手線,賃貸アパート,1K,9.04
11-20分,15分,乗換0回,蒲田,139.716032,35.562517,ＪＲ,京浜東北線,賃貸アパート,1K,9.83
11-20分,18分,乗換0回,川崎,139.697485,35.531311,ＪＲ,京浜東北線,賃貸アパート,1K,8.19
11-20分,11分,乗換0回,目黒,139.715775,35.633923,ＪＲ,山手線,賃貸アパート,1K,11.5
11-20分,13分,乗換0回,恵比寿,139.71007,35.646685,ＪＲ,山手線,賃貸アパート,1K,13.5
11-20分,16分,乗換0回,渋谷,139.701238,35.658871,ＪＲ,山手線,賃貸アパート,1K,11.9
11-20分,15分,乗換0回,戸越,139.716495,35.614633,都営,浅草線,賃貸アパート,1K,9.74
11-20分,17分,乗換0回,中延,139.712526,35.60571,都営,浅草線,賃貸アパート,1K,10.05
11-20分,19分,乗換0回,馬込,139.711772,35.596435,都営,浅草線,賃貸アパート,1K,8.62
11-20分,18分,乗換1回,戸越公園,139.718159,35.608856,東急,大井町線,賃貸アパート,1K,7.6
11-20分,19分,乗換1回,白金高輪,139.734104,35.642903,都営,三田線,賃貸アパート,1K,15.9
21-30分,22分,乗換1回,長原,139.697881,35.60219,東急,池上線,賃貸アパート,1K,8.3
21-30分,24分,乗換1回,洗足池,139.690896,35.599648,東急,池上線,賃貸アパート,1K,8.9
21-30分,26分,乗換1回,池上,139.702822,35.572025,東急,池上線,賃貸アパート,1K,9.05
21-30分,27分,乗換1回,雪が谷大塚,139.681083,35.592038,東急,池上線,賃貸アパート,1K,8.97
21-30分,28分,乗換1回,御嶽山,139.682473,35.585236,東急,池上線,賃貸アパート,1K,7.5
21-30分,28分,乗換1回,千鳥町,139.69142,35.572983,東急,池上線,賃貸アパート,1K,8.95
21-30分,26分,乗換1回,四ツ谷,139.730644,35.686041,ＪＲ,中央本線（東京-塩尻）,賃貸アパート,1K,26.5
