所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
0-10分,8分,乗換0回,大井町,139.73485,35.606257,ＪＲ,京浜東北線,賃貸アパート,1LDK,16.38
11-20分,11分,乗換0回,大森,139.728079,35.588903,ＪＲ,京浜東北線,賃貸アパート,1LDK,14.7
11-20分,15分,乗換0回,蒲田,139.716032,35.562517,ＪＲ,京浜東北線,賃貸アパート,1LDK,13.25
11-20分,11分,乗換0回,目黒,139.715775,35.633923,ＪＲ,山手線,賃貸アパート,1LDK,16.0
11-20分,13分,乗換0回,恵比寿,139.71007,35.646685,ＪＲ,山手線,賃貸アパート,1LDK,27.4
11-20分,17分,乗換0回,中延,139.712526,35.60571,都営,浅草線,賃貸アパート,1LDK,17.6
11-20分,19分,乗換0回,馬込,139.711772,35.596435,都営,浅草線,賃貸アパート,1LDK,12.08
11-20分,17分,乗換1回,青物横丁,139.742958,35.609351,京急,本線,賃貸アパート,1LDK,14.33
11-20分,19分,乗換1回,白金高輪,139.734104,35.642903,都営,三田線,賃貸アパート,1LDK,18.03
11-20分,19分,乗換1回,不動前,139.71469,35.626526,東急,目黒線,賃貸アパート,1LDK,16.0
11-20分,19分,乗換1回,白金台,139.726133,35.637917,東京メトロ,南北線,賃貸アパート,1LDK,20.85
21-30分,21分,乗換1回,旗の台,139.702286,35.604923,東急,池上線,賃貸アパート,1LDK,16.0
21-30分,22分,乗換1回,長原,139.697881,35.60219,東急,池上線,賃貸アパート,1LDK,17.7
21-30分,25分,乗換1回,石川台,139.685063,35.596888,東急,池上線,賃貸アパート,1LDK,11.15
21-30分,26分,乗換1回,池上,139.702822,35.572025,東急,池上線,賃貸アパート,1LDK,15.3
21-30分,27分,乗換1回,雪が谷大塚,139.681083,35.592038,東急,池上線,賃貸アパート,1LDK,16.2
21-30分,28分,乗換1回,御嶽山,139.682473,35.585236,東急,池上線,賃貸アパート,1LDK,12.6
21-30分,29分,乗換1回,久が原,139.685678,35.579499,東急,池上線,賃貸アパート,1LDK,12.45
21-30分,21分,乗換1回,西大井,139.721729,35.601616,ＪＲ,横須賀線,賃貸アパート,1LDK,11.8
21-30分,26分,乗換1回,武蔵小杉,139.65963,35.57669,ＪＲ,横須賀線,賃貸アパート,1LDK,16.05
21-30分,21分,乗換0回,西馬込,139.705942,35.586859,都営,浅草線,賃貸アパート,1LDK,15.1
