所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
0-10分,4分,乗換0回,田町,139.747575,35.645736,ＪＲ,山手線,賃貸マンション,1DK,16.1
0-10分,4分,乗換0回,品川,139.738999,35.62876,ＪＲ,山手線,賃貸マンション,1DK,14.96
0-10分,6分,乗換0回,浜松町,139.757135,35.655391,ＪＲ,山手線,賃貸マンション,1DK,19.77
0-10分,7分,乗換0回,大崎,139.728439,35.619772,ＪＲ,山手線,賃貸マンション,1DK,13.76
0-10分,8分,乗換0回,新橋,139.758587,35.666195,ＪＲ,山手線,賃貸マンション,1DK,21.8
0-10分,9分,乗換0回,五反田,139.723822,35.625974,ＪＲ,山手線,賃貸マンション,1DK,16.02
0-10分,8分,乗換0回,大井町,139.73485,35.606257,ＪＲ,京浜東北線,賃貸マンション,1DK,15.13
11-20分,11分,乗換0回,大森,139.728079,35.588903,ＪＲ,京浜東北線,賃貸マンション,1DK,14.29
11-20分,11分,乗換0回,東京,139.766103,35.681391,ＪＲ,京浜東北線,賃貸マンション,1DK,16.4
11-20分,13分,乗換0回,神田,139.770641,35.691173,ＪＲ,京浜東北線,賃貸マンション,1DK,18.03
11-20分,15分,乗換0回,蒲田,139.716032,35.562517,ＪＲ,京浜東北線,賃貸マンション,1DK,12.68
11-20分,15分,乗換0回,秋葉原,139.773288,35.698619,ＪＲ,京浜東北線,賃貸マンション,1DK,16.65
11-20分,17分,乗換0回,上野,139.777043,35.71379,ＪＲ,京浜東北線,賃貸マンション,1DK,16.18
11-20分,18分,乗換0回,川崎,139.697485,35.531311,ＪＲ,京浜東北線,賃貸マンション,1DK,12.29
11-20分,13分,乗換0回,恵比寿,139.71007,35.646685,ＪＲ,山手線,賃貸マンション,1DK,20.84
11-20分,16分,乗換0回,渋谷,139.701238,35.658871,ＪＲ,山手線,賃貸マンション,1DK,21.44
11-20分,18分,乗換0回,御徒町,139.774727,35.707282,ＪＲ,山手線,賃貸マンション,1DK,18.38
