所要時間範囲,所要時間,乗り換え回数,駅名,lon,lat,鉄道会社,路線名,建物種別,間取り,月額
0-10分,4分,乗換0回,田町,139.747575,35.645736,ＪＲ,山手線,賃貸マンション,1K,13.93
0-10分,4分,乗換0回,品川,139.738999,35.62876,ＪＲ,山手線,賃貸マンション,1K,14.09
0-10分,6分,乗換0回,浜松町,139.757135,35.655391,ＪＲ,山手線,賃貸マンション,1K,15.19
0-10分,7分,乗換0回,大崎,139.728439,35.619772,ＪＲ,山手線,賃貸マンション,1K,12.35
0-10分,8分,乗換0回,新橋,139.758587,35.666195,ＪＲ,山手線,賃貸マンション,1K,13.98
0-10分,9分,乗換0回,五反田,139.723822,35.625974,ＪＲ,山手線,賃貸マンション,1K,12.79
0-10分,8分,乗換0回,大井町,139.73485,35.606257,ＪＲ,京浜東北線,賃貸マンション,1K,12.62
11-20分,11分,乗換0回,大森,139.728079,35.588903,ＪＲ,京浜東北線,賃貸マンション,1K,11.82
11-20分,11分,乗換0回,東京,139.766103,35.681391,ＪＲ,京浜東北線,賃貸マンション,1K,16.7
11-20分,13分,乗換0回,神田,139.770641,35.691173,ＪＲ,京浜東北線,賃貸マンション,1K,14.35
11-20分,15分,乗換0回,蒲田,139.716032,35.562517,ＪＲ,京浜東北線,賃貸マンション,1K,11.35
11-20分,15分,乗換0回,秋葉原,139.773288,35.698619,ＪＲ,京浜東北線,賃貸マンション,1K,13.72
11-20分,17分,乗換0回,上野,139.777043,35.71379,ＪＲ,京浜東北線,賃貸マンション,1K,12.64
11-20分,18分,乗換0回,川崎,139.697485,35.531311,ＪＲ,京浜東北線,賃貸マンション,1K,10.33
11-20分,11分,乗換0回,目黒,139.715775,35.633923,ＪＲ,山手線,賃貸マンション,1K,13.76
11-20分,13分,乗換0回,恵比寿,139.71007,35.646685,ＪＲ,山手線,賃貸マンション,1K,14.54
11-20分,16分,乗換0回,渋谷,139.701238,35.658871,ＪＲ,山手線,賃貸マンション,1K,16.69
11-20分,18分,乗換0回,原宿,139.702592,35.670646,ＪＲ,山手線,賃貸マンション,1K,12.41
11-20分,18分,乗換0回,御徒町,139.774727,35.707282,ＪＲ,山手線,賃貸マンション,1K,13.86
11-20分,12分,乗換0回,高輪台,139.730305,35.631679,都営,浅草線,賃貸マンション,1K,13.18
11-20分,15分,乗換0回,戸越,139.716495,35.614633,都営,浅草線,賃貸マンション,1K,12.04
11-20分,17分,乗換0回,中延,139.712526,35.60571,都営,浅草線,賃貸マンション,1K,11.6
11-20分,17分,乗換0回,東銀座,139.767253,35.669464,都営,浅草線,賃貸マンション,1K,40.69
11-20分,19分,乗換0回,馬込,139.711772,35.596435,都営,浅草線,賃貸マンション,1K,10.4
11-20分,14分,乗換1回,北品川,139.739191,35.622458,京急,本線,賃貸マンション,1K,12.58
11-20分,15分,乗換1回,新馬場,139.741366,35.61762,京急,本線,賃貸マンション,1K,12.11
11-20分,17分,乗換1回,青物横丁,139.742958,35.609351,京急,本線,賃貸マンション,1K,12.58
11-20分,20分,乗換1回,鮫洲,139.742227,35.604977,京急,本線,賃貸マンション,1K,10.29
11-20分,16分,乗換1回,下神明,139.726256,35.608704,東急,大井町線,賃貸マンション,1K,10.78
11-20分,18分,乗換1回,戸越公園,139.718159,35.608856,東急,大井町線,賃貸マンション,1K,12.18
11-20分,20分,乗換1回,荏原町,139.707571,35.60382,東急,大井町線,賃貸マンション,1K,10.71
11-20分,16分,乗換1回,虎ノ門,139.749832,35.670236,東京メトロ,銀座線,賃貸マンション,1K,14.0
11-20分,18分,乗換1回,三越前,139.773594,35.687101,東京メトロ,銀座線,賃貸マンション,1K,14.96
11-20分,19分,乗換1回,末広町,139.771713,35.702972,東京メトロ,銀座線,賃貸マンション,1K,14.53
11-20分,20分,乗換1回,赤坂見附,139.737047,35.677021,東京メトロ,銀座線,賃貸マンション,1K,20.02
11-20分,16分,乗換1回,芝公園,139.749824,35.654074,都営,三田線,賃貸マンション,1K,14.3
11-20分,18分,乗換1回,御成門,139.751535,35.661215,都営,三田線,賃貸マンション,1K,14.51
11-20分,19分,乗換1回,白金高輪,139.734104,35.642903,都営,三田線,賃貸マンション,1K,13.81
11-20分,19分,乗換1回,荏原中延,139.712196,35.610056,東急,池上線,賃貸マンション,1K,10.96
11-20分,20分,乗換1回,虎ノ門ヒルズ,139.747778,35.667444,東京メトロ,日比谷線,賃貸マンション,1K,12.25
11-20分,19分,乗換1回,不動前,139.71469,35.626526,東急,目黒線,賃貸マンション,1K,12.89
11-20分,19分,乗換1回,赤羽橋,139.743642,35.655007,都営,大江戸線（環状部）,賃貸マンション,1K,14.81
11-20分,19分,乗換1回,白金台,139.726133,35.637917,東京メトロ,南北線,賃貸マンション,1K,15.11
11-20分,19分,乗換1回,品川シーサイド,139.749549,35.608524,不明,りんかい線,賃貸マンション,1K,12.6
11-20分,20分,乗換1回,竹芝,139.762037,35.654099,不明,ゆりかもめ,賃貸マンション,1K,20.74
11-20分,20分,乗換1回,天王洲アイル,139.750675,35.622908,不明,東京モノレール,賃貸マンション,1K,10.17
21-30分,21分,乗換1回,旗の台,139.702286,35.604923,東急,池上線,賃貸マンション,1K,10.88
21-30分,22分,乗換1回,長原,139.697881,35.60219,東急,池上線,賃貸マンション,1K,11.68
21-30分,24分,乗換1回,洗足池,139.690896,35.599648,東急,池上線,賃貸マンション,1K,9.3
21-30分,24分,乗換1回,蓮沼,139.708544,35.564173,東急,池上線,賃貸マンション,1K,11.83
21-30分,25分,乗換1回,石川台,139.685063,35.596888,東急,池上線,賃貸マンション,1K,10.66
21-30分,26分,乗換1回,池上,139.702822,35.572025,東急,池上線,賃貸マンション,1K,10.33
21-30分,27分,乗換1回,雪が谷大塚,139.681083,35.592038,東急,池上線,賃貸マンション,1K,10.18
